CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,RATING,311_Zip,311_Severity_1,311_Severity_2,311_Severity_3,Crime_Zip,Crime_Severity_1,Crime_Severity_2,Crime_Severity_3
50035430,MAHARAJA PALACE,MANHATTAN,2113,FREDERICK DOUGLASS BLVD,10026,2122228934,Indian,3.86,10026,9130,31831,18525,10026,8412,19701,3828
40946989,PAMPANO,MANHATTAN,209,EAST   49 STREET,10017,2127514545,Mexican,3.93,10017,10058,14601,8600,10017,809,1054,308
50017444,MCFADDEN'S,MANHATTAN,800,2ND AVE,10017,2129861515,Irish,2.86,10017,10058,14601,8600,10017,809,1054,308
50050575,THE EGGETTES HOUSE/KUNG FU TEA,MANHATTAN,315,GREENWICH ST,10013,9175448250,CafÃƒÂ©/Coffee/Tea,2.33,10013,13921,33916,11622,10013,1372,2870,417
41333749,BRISAS DEL MAR RESTAURANT,QUEENS,9902,ROCKAWAY BEACH BOULEVARD,11694,7184740770,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4.13,11694,9922,12183,11304,11694,947,1456,477
50003625,PEPE ROSSO SOCIAL,MANHATTAN,173,MOTT ST,10013,2122190019,Italian,4.33,10013,13921,33916,11622,10013,1372,2870,417
40388818,YAMA JAPANESE RESTAURANT',MANHATTAN,122,EAST   17 STREET,10003,2124750969,Japanese,4.76,10003,20414,48620,22048,10003,7802,14750,1804
50044507,ZAMAAN,BROOKLYN,2204,AVENUE X,11235,3475934444,American,3.28,11235,29988,43011,35274,11235,4186,6661,1456
50051322,CEREMONY,BROOKLYN,224,MANHATTAN AVE,11206,9177573532,American,2.57,11206,23750,54139,25839,11206,8401,13854,2989
50018622,NEW STAR SEAFOOD RESTAURANT,BROOKLYN,6022,8TH AVE,11220,7184926888,Chinese,2.66,11220,29784,44348,33765,11220,6471,12166,2691
41086188,VAN DAM DELI,QUEENS,5250,VAN DAM STREET,11101,7187869826,Spanish,3.54,11101,22868,32955,19403,11101,1606,2990,801
50065507,FU JU LAI RESTAURANT,BROOKLYN,5103,7TH AVE,11220,7188718089,Chinese,4.37,11220,29784,44348,33765,11220,6471,12166,2691
41718128,MAY WAH FAST FOOD,MANHATTAN,190,HESTER STREET,10013,2129256776,Chinese,2.48,10013,13921,33916,11622,10013,1372,2870,417
50047353,NEW 21 SHANGHAI HOUSE,MANHATTAN,21,DIVISION ST,10002,2122268998,Chinese,3.87,10002,17772,55098,23339,10002,5662,12238,2615
41461968,ROUND TWO KARAOKE,QUEENS,3611,164 STREET,11358,3473684488,Korean,3.61,11358,15309,16745,12716,11358,1703,2289,707
41096461,JAKE'S SALOON,MANHATTAN,206,WEST   23 STREET,10011,2123373100,Irish,3.77,10011,17530,39714,18836,10011,2222,3395,598
41649130,THE SMITH,MANHATTAN,1900,BROADWAY,10023,2124965700,American,3.87,10023,17463,33222,15549,10023,2885,5889,1318
41647241,JACK'S SLIDERS AND SUSHI,MANHATTAN,171,3 AVENUE,10003,2124662828,Asian,3.01,10003,20414,48620,22048,10003,7802,14750,1804
50002284,KINANM LOUNGE,BROOKLYN,856,ATLANTIC AVE,11238,3474050500,Caribbean,4.22,11238,21662,52907,35214,11238,3788,5580,1410
41612489,PREMIER CAFE,MANHATTAN,856,7 AVENUE,10019,2127574477,American,3.26,10019,20865,40648,22968,10019,1559,2764,958
41647192,PACKARD  CAFE,QUEENS,4134,CRESCENT STREET,11101,7183922323,American,2.95,11101,22868,32955,19403,11101,1606,2990,801
50063594,Mi Estrella NY Bakery,BROOKLYN,268,WYCKOFF AVE,11237,7186289250,Bakery,3.79,11237,21760,48029,24373,11237,7351,10865,2362
40380559,SUPERNOVA-NOVOTEL HOTEL,MANHATTAN,226,WEST 52 ND STREET,10019,2123150100,American,2.32,10019,20865,40648,22968,10019,1559,2764,958
50013978,EL PALACIO DE LAS EMPANADAS,QUEENS,5302,108TH ST,11368,7182711616,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2.67,11368,35645,39163,23852,11368,4432,7906,1350
40705487,STROKOS GOURMET DELI,MANHATTAN,1090,AMSTERDAM AVE,10025,2126662121,Delicatessen,4.66,10025,18510,50196,33912,10025,4880,9815,2438
41270442,L.A. BURRITO,BROOKLYN,287,BEDFORD AVENUE,11211,7187827728,Tex-Mex,4.00,11211,22333,55262,23791,11211,4413,7125,1361
50010282,KENNEDY FRIED CHICKEN,BRONX,35,E 170TH ST,10452,7183537321,Chicken,4.26,10452,26197,57473,58064,10452,7822,17769,3388
41673897,KING OF INDIA,QUEENS,24904,HILLSIDE AVENUE,11426,7183474000,Indian,4.34,11426,6713,7011,6269,11426,983,1163,405
41458695,TONG SAM GYUP GOO YI RESTAURANT,QUEENS,16223,DEPOT ROAD,11358,7183594583,Korean,4.71,11358,15309,16745,12716,11358,1703,2289,707
41675250,GOLDEN BIRD,BROOKLYN,1669,NOSTRAND AVENUE,11226,7186938810,Chinese,3.14,11226,38367,89604,87491,11226,12093,19121,5356
40688834,SEGUINE BAGEL BAKERY,STATEN ISLAND,5840,AMBOY ROAD,10309,7189666097,Delicatessen,4.39,10309,15298,12326,8821,10309,1114,3108,918
40999668,DUNKIN' DONUTS/BASKIN ROBBINS,MANHATTAN,269,8 AVENUE,10011,6463968390,Donuts,2.68,10011,17530,39714,18836,10011,2222,3395,598
41676498,PEKING KITCHEN,BROOKLYN,7106,BAY PARKWAY,11204,7182591297,Chinese,4.79,11204,23688,29703,29314,11204,2950,5173,1313
41216675,NEW STAR COFFEE SHOP & DELI,BRONX,3150,BAINBRIDGE AVENUE,10467,7182311700,Delicatessen,4.30,10467,34702,72819,75119,10467,9220,19121,4239
41450360,EL TEQUILERO BAR & RESTAURANT,BROOKLYN,NULL,AVENUE U,11223,3472755557,Mexican,3.03,11223,23794,32817,28887,11223,5405,8406,2159
41434872,SAL & PAUL'S PIZZERIA,BROOKLYN,1686,PITKIN AVENUE,11212,7189220550,Pizza,3.99,11212,27280,48279,46174,11212,14366,23375,6899
40600383,FERRARA'S,MANHATTAN,195,GRAND STREET,10013,2122266150,Bakery,3.82,10013,13921,33916,11622,10013,1372,2870,417
41137141,CHIPOTLE MEXICAN GRILL,MANHATTAN,283,7 AVENUE,10001,2126456270,Tex-Mex,3.49,10001,16255,27702,13938,10001,828,1400,257
50014723,ZHENG FUZHOU CUISINE INC.,MANHATTAN,NULL,ELDRIDGE ST,10002,9177706686,Chinese,2.98,10002,17772,55098,23339,10002,5662,12238,2615
50004969,CASA THEODORO,QUEENS,5418,31ST AVE,11377,7185453800,Pizza/Italian,4.24,11377,30074,37456,25814,11377,2962,4506,1293
50064418,Planet Wings,QUEENS,9505,63RD DR,11374,7189971111,American,2.28,11374,15228,18432,14860,11374,2870,6708,1252
40384323,OMEGA COFFEE SHOP,QUEENS,20007,32 AVENUE,11361,7183523925,CafÃƒÂ©/Coffee/Tea,2.37,11361,11811,12513,9354,11361,1733,2268,549
50008548,CAFE JAX,MANHATTAN,318,E 84TH ST,10028,2125107084,CafÃƒÂ©/Coffee/Tea,4.79,10028,7943,23724,12637,10028,2856,4407,627
41209902,STARBUCKS,MANHATTAN,4,WEST   21 STREET,10010,6463366583,CafÃƒÂ©/Coffee/Tea,3.19,10010,9531,20332,9869,10010,5016,7365,1525
41588095,ALL ABOUT FOOD,MANHATTAN,16,EAST   58 STREET,10022,2123550900,Delicatessen,2.01,10022,13763,22439,12814,10022,774,1109,200
41542492,FAR EAST SZECHUAN KITCHEN,QUEENS,7104,KISSENA BOULEVARD,11367,7182631265,Chinese,4.79,11367,13068,16725,12186,11367,2599,4377,1438
41469234,"DUNKIN' DONUTS, SUBWAY",QUEENS,9217,PARSONS BOULEVARD,11433,7182064842,Sandwiches,3.82,11433,15969,24567,12844,11433,5745,7971,2054
41360136,BUTTERFIELD CATERING,MANHATTAN,346,EAST   92 STREET,10128,2127728782,American,4.48,10128,8773,26742,14110,10128,2851,4775,959
50015303,LA CABANA RESTAURANT,QUEENS,10224,JAMAICA AVE,11418,3475713986,Mexican,1.98,11418,17264,21654,13487,11418,2492,4009,1072
41702078,SAKURA TOKYO II,BROOKLYN,354,MYRTLE AVENUE,11205,7184888838,Japanese,3.30,11205,15258,32764,17351,11205,6327,10484,2343
50007942,TRU,QUEENS,3519,DITMARS BLVD,11105,6468786000,Greek,3.15,11105,14525,18576,14691,11105,1688,3113,800
41696173,PAPA'S KITCHEN,QUEENS,6540,WOODSIDE AVENUE,11377,7187799191,Filipino,3.45,11377,30074,37456,25814,11377,2962,4506,1293
41115447,UNO PIZZERIA AND GRILL,BROOKLYN,9201,4 AVENUE,11209,7187488667,Pizza/Italian,4.05,11209,26824,35797,34725,11209,2620,6098,1609
50006410,KALINA RESTAURANT,BROOKLYN,1476,BROADWAY,11221,7189191111,Spanish,2.16,11221,32018,66417,44935,11221,10123,14290,4220
41708809,HL SPRING GARDEN,BROOKLYN,8706,5 AVENUE,11209,7189217171,Chinese,2.31,11209,26824,35797,34725,11209,2620,6098,1609
41572874,SOMETHING'S COOKING CATERING,QUEENS,2210,39 AVENUE,11101,7183910002,American,3.81,11101,22868,32955,19403,11101,1606,2990,801
41486522,BOXERS NYC,MANHATTAN,37,WEST   20 STREET,10011,2122555082,American,4.04,10011,17530,39714,18836,10011,2222,3395,598
40572406,SHAMROCK INN,BRONX,1729,CROSBY AVENUE,10461,7188228889,Irish,2.62,10461,22554,30805,24962,10461,2800,6136,1601
41022984,BICHEIRO'S CAFE,QUEENS,10505,JAMAICA AVENUE,11418,9175006383,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3.19,11418,17264,21654,13487,11418,2492,4009,1072
41569059,HOY WONG RESTAURANT,MANHATTAN,81,MOTT STREET,10013,2123741312,Chinese,4.36,10013,13921,33916,11622,10013,1372,2870,417
40946406,STARBUCKS,MANHATTAN,111,WORTH STREET,10013,2129648846,CafÃƒÂ©/Coffee/Tea,3.02,10013,13921,33916,11622,10013,1372,2870,417
50048224,DUNKIN DONUTS BASKIN ROBBINS,BROOKLYN,1547,RALPH AVE,11236,9178863304,Donuts,2.04,11236,31514,40718,26801,11236,7936,11853,4117
40988969,LORETTA'S PIZZA,BRONX,3276,LAYTON AVENUE,10465,7189315511,Pizza,1.87,10465,16866,21460,12946,10465,2253,6183,1822
40599004,BOTANICA BAR,MANHATTAN,47,EAST HOUSTON STREET,10012,2123437251,American,3.07,10012,10105,29161,12322,10012,8117,15340,1736
41600476,BELLA ROZA,QUEENS,6352,BOOTH STREET,11374,7182750777,Jewish/Kosher,4.58,11374,15228,18432,14860,11374,2870,6708,1252
50034278,GO CUPS,MANHATTAN,1838,2ND AVE,10128,2122892929,"Juice, Smoothies, Fruit Salads",3.17,10128,8773,26742,14110,10128,2851,4775,959
41085439,INES' BAKERY,BROOKLYN,948,4 AVENUE,11232,7187880594,Bakery,3.43,11232,13873,18503,11461,11232,2795,5417,1170
41577304,WRAY'S CARIBBEAN AND SEAFOOD CUISINE,BROOKLYN,503,MYRTLE AVENUE,11205,7187891111,Caribbean,2.55,11205,15258,32764,17351,11205,6327,10484,2343
41623638,RINCONCITO TEPEYAC,BRONX,381,EAST  138 STREET,10454,7184018314,Mexican,2.01,10454,9668,20380,15524,10454,3369,8002,1755
41258524,FULL DOE BAKERY,BROOKLYN,5905,4 AVENUE,11220,7184398880,Bakery,4.80,11220,29784,44348,33765,11220,6471,12166,2691
41529658,DE LILLO PASTRY SHOP,BRONX,610,EAST  187 STREET,10458,7183678198,Bakery,2.80,10458,24949,61284,72440,10458,7728,15917,3115
41299396,STARBUCKS,BRONX,3503,JOHNSON AVENUE,10463,7185432348,CafÃƒÂ©/Coffee/Tea,3.93,10463,22589,38555,43842,10463,3908,9852,1807
50000703,PATRIZIA'S OF BROOKLYN,STATEN ISLAND,4255,AMBOY ROAD,10308,7183176600,Italian,3.15,10308,12636,11344,8406,10308,1507,3544,1393
41097180,NINJA RESTAURANT,MANHATTAN,25,HUDSON STREET,10013,2122748500,Japanese,3.48,10013,13921,33916,11622,10013,1372,2870,417
41018146,TROPICAL II RESTAURANT,QUEENS,3610,GREENPOINT AVENUE,11101,7183922734,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3.84,11101,22868,32955,19403,11101,1606,2990,801
41603610,LIVINGSTON DINER,BROOKLYN,372,LIVINGSTON STREET,11217,7185226941,American,2.01,11217,17232,34123,16821,11217,2989,5079,1081
41637061,YN,MANHATTAN,227,MOTT STREET,10012,2122263330,Italian,2.75,10012,10105,29161,12322,10012,8117,15340,1736
50044392,CHARLEY'S PHILLY STEAKS,STATEN ISLAND,2655,RICHMOND AVE,10314,7186988866,American,3.84,10314,37873,34632,22102,10314,1246,4303,793
41240648,CANTON GOURMET RESTAURANT,QUEENS,3806,PRINCE STREET,11354,7188869288,Chinese,4.43,11354,17939,23482,16110,11354,3803,6666,1522
50037974,CHOPAN KABAB HOUSE,QUEENS,4327,MAIN ST,11355,7185393180,Afghan,2.02,11355,22272,28583,21818,11355,3814,5331,1467
41088636,PT RESTAURANT,BROOKLYN,331,BEDFORD AVENUE,11211,7183887438,Italian,3.04,11211,22333,55262,23791,11211,4413,7125,1361
50013366,DELI & GRILL,BROOKLYN,5425,5TH AVE,11220,7184921566,Delicatessen,2.95,11220,29784,44348,33765,11220,6471,12166,2691
41085105,BROADWAY AU LAIT,MANHATTAN,307072,BROADWAY,10027,2128658429,Vegetarian,2.00,10027,15670,46879,33064,10027,2332,6122,1451
40520604,STARBUCKS,QUEENS,7000,AUSTIN STREET,11375,7182684719,CafÃƒÂ©/Coffee/Tea,2.36,11375,23374,30096,21514,11375,2417,4289,897
40369213,WHITESTONE LANES,QUEENS,3005,WHITESTONE EXPRESSWAY,11354,7183536300,American,3.00,11354,17939,23482,16110,11354,3803,6666,1522
41574277,TACO MIX USA,MANHATTAN,234,EAST  116 STREET,10029,3476643002,Mexican,1.91,10029,14562,46324,28247,10029,7996,19851,4142
41705763,CITYSCAPES NY,QUEENS,5561,58 STREET,11378,7183668900,American,3.03,11378,19801,20252,16015,11378,1898,3748,843
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.81,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50052845,THE JUICE SHOP,MANHATTAN,80,BROAD ST,10004,9176757984,"Juice, Smoothies, Fruit Salads",2.18,10004,3212,5162,2554,10004,524,1284,313
41641577,EL CASTILLO BAR RESTAURANT,BROOKLYN,189,WILSON AVENUE,11237,7184439819,Spanish,4.44,11237,21760,48029,24373,11237,7351,10865,2362
41571021,OM INDIAN RESTAURANT,MANHATTAN,1593,2 AVENUE,10028,2126284500,Indian,2.58,10028,7943,23724,12637,10028,2856,4407,627
50063704,BU ICE CREAM,MANHATTAN,90,E BROADWAY,10002,9179002341,"Ice Cream, Gelato, Yogurt, Ices",4.06,10002,17772,55098,23339,10002,5662,12238,2615
40600160,LE PARIS BISTROT FRANCAIS,MANHATTAN,1312,MADISON AVENUE,10128,2122890997,French,3.91,10128,8773,26742,14110,10128,2851,4775,959
41628657,OOTOYA JAPANESE RESTAURANT,MANHATTAN,8,WEST   18 STREET,10011,2122550018,Japanese,3.55,10011,17530,39714,18836,10011,2222,3395,598
41481413,TIMESCARE ARTS CENTER THEATRE,MANHATTAN,300,WEST   43 STREET,10036,2125867829,American,2.87,10036,18034,32494,18650,10036,3549,5802,1176
50019284,ENCUENTRO RESTAURANT,QUEENS,3729,103RD ST,11368,7187794245,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4.73,11368,35645,39163,23852,11368,4432,7906,1350
50009998,DADDY GREENS,BROOKLYN,352,MALCOLM X BLVD,11233,7184842142,Pizza,2.50,11233,28384,50981,44311,11233,11267,17313,4809
50001861,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,201,MADISON STREET,10002,2125665071,Donuts,4.13,10002,17772,55098,23339,10002,5662,12238,2615
41583046,RUCOLA,BROOKLYN,190,DEAN STREET,11217,7185763209,Italian,2.60,11217,17232,34123,16821,11217,2989,5079,1081
41453046,THE ORIGINAL DREAM CAFE COMIDA LATINA,BRONX,239,EAST  165 STREET,10456,3475901872,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3.60,10456,24073,55809,52319,10456,8088,19515,4237
50009215,LEOS RESTAURANT,BROOKLYN,207,KNICKERBOCKER AVE,11237,7184561054,Mexican,3.26,11237,21760,48029,24373,11237,7351,10865,2362
41485123,OUTBACK STEAKHOUSE,QUEENS,2348,BELL BOULEVARD,11360,7188190908,Steak,2.44,11360,4924,5666,3984,11360,765,852,341
50014452,TERIYAKI JAPAN,BROOKLYN,6814,4TH AVE,11220,7188333068,Japanese,3.51,11220,29784,44348,33765,11220,6471,12166,2691
40387825,GREEN PAVILION RESTAURANT & SPORTS LOUNGE,BROOKLYN,4307,18 AVENUE,11218,7184354722,American,3.40,11218,23673,37032,33987,11218,3474,5685,1407
40386303,PIZZA PLUS,BROOKLYN,359,SEVENTH AVENUE,11215,7187685327,Pizza,3.97,11215,27151,41462,26252,11215,3480,5937,1505
50032637,O' CAFE,MANHATTAN,79,5TH AVE,10003,2122295700,CafÃƒÂ©/Coffee/Tea,3.82,10003,20414,48620,22048,10003,7802,14750,1804
41698000,KARAOKE DUET 48,MANHATTAN,304,EAST   48 STREET,10017,2127530030,American,3.10,10017,10058,14601,8600,10017,809,1054,308
50067695,NEW YONG SHENG,QUEENS,11919,101ST AVE,11419,7184419662,Chinese,2.30,11419,21573,36338,17441,11419,4037,5467,1836
41229106,BLIND PIG,MANHATTAN,233,EAST   14 STREET,10003,2122091573,American,4.31,10003,20414,48620,22048,10003,7802,14750,1804
40576333,NEW YORK UNIVERSITY - SNOW DINING,MANHATTAN,40,WASHINGTON SQUARE SOUTH,10012,2129986498,American,2.38,10012,10105,29161,12322,10012,8117,15340,1736
40675225,BEHAN'S PUB,BRONX,4299,KATONAH AVE,10470,7186529153,Irish,2.18,10470,7649,10833,11440,10470,2406,4402,993
50046170,RED HOUSE,MANHATTAN,203,E 14TH ST,10003,2122288288,Chinese,4.73,10003,20414,48620,22048,10003,7802,14750,1804
40396574,MONTEBELLO RESTAURANT,MANHATTAN,120,EAST   56 STREET,10022,2127531447,Italian,3.81,10022,13763,22439,12814,10022,774,1109,200
50017469,HOUSE OF SEAFOOD EXPRESS,MANHATTAN,429,LENOX AVE,10037,9178737039,Seafood,3.76,10037,4832,12482,9756,10037,5457,13721,2227
40373462,VILLA BERULIA,MANHATTAN,107,EAST   34 STREET,10016,2126891970,Italian,3.28,10016,17206,37805,17952,10016,1627,1927,380
50014643,GREEN APPLE GOURMET,MANHATTAN,1625,BROADWAY,10019,2127670198,Delicatessen,2.66,10019,20865,40648,22968,10019,1559,2764,958
50002348,DESI GRILL INDIAN CUISINE,BROOKLYN,46,WYCKOFF AVE,11237,7183819777,Indian,3.66,11237,21760,48029,24373,11237,7351,10865,2362
50017822,DON LEO'S PLACE,BRONX,648,SOUNDVIEW AVE,10473,3472875074,Spanish,4.42,10473,16584,24232,14728,10473,3058,7348,2024
41012946,TIME WARNER(CAFETERIA),MANHATTAN,1,TIME WARNER CENTER,10019,2124846114,American,3.37,10019,20865,40648,22968,10019,1559,2764,958
40942949,SNACK TAVERNA,MANHATTAN,63,BEDFORD STREET,10014,2129293499,Greek,4.08,10014,12082,29918,14635,10014,5974,7420,1321
50058139,JANE,MANHATTAN,100,W HOUSTON ST,10012,2122547000,American,2.40,10012,10105,29161,12322,10012,8117,15340,1736
41629686,DUNKIN' DONUTS,QUEENS,0,JFK INTERNATIONAL AIRPORT,11430,3455250609,Donuts,3.91,11430,968,1051,2268,11430,1,10,NULL
50016815,Lyric Theatre,MANHATTAN,214,W 43RD ST,10036,2125564719,American,2.89,10036,18034,32494,18650,10036,3549,5802,1176
40887518,BARBES,BROOKLYN,376,NINTH STREET,11215,3474220248,American,2.75,11215,27151,41462,26252,11215,3480,5937,1505
50036921,MAZI NIGHTCLUB,QUEENS,13035,91ST AVE,11418,5165515682,American,2.97,11418,17264,21654,13487,11418,2492,4009,1072
41716978,52ND SUSHI,QUEENS,5221,ROOSEVELT AVENUE,11377,7185079204,Japanese,4.00,11377,30074,37456,25814,11377,2962,4506,1293
41653951,MARIA'S PIZZERIA RESTAURANT,BROOKLYN,1849,CONEY ISLAND AVENUE,11230,7186271003,Pizza,2.37,11230,28805,42770,43315,11230,4520,7025,1578
41552160,NAGOYA GOURMET,QUEENS,2573,FRANCIS LEWIS BOULEVARD,11358,7182810188,Japanese,2.34,11358,15309,16745,12716,11358,1703,2289,707
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,2126439232,Chinese,3.29,10001,16255,27702,13938,10001,828,1400,257
41459070,NEW WONG RESTAURANT,MANHATTAN,103,EAST BROADWAY,10002,6468789474,Chinese,2.06,10002,17772,55098,23339,10002,5662,12238,2615
41361120,SOFIA PIZZA RESTAURANT,BROOKLYN,2822,CONEY ISLAND AVENUE,11235,7185136300,Pizza,4.78,11235,29988,43011,35274,11235,4186,6661,1456
40745618,MIKE'S PIZZA,BROOKLYN,905,MYRTLE AVENUE,11206,7187825011,Pizza,3.97,11206,23750,54139,25839,11206,8401,13854,2989
40386340,NILES RESTAURANT,MANHATTAN,371,7 AVENUE,10001,2126290210,American,3.42,10001,16255,27702,13938,10001,828,1400,257
40721728,THREE JOLLY PIGEONS,BROOKLYN,6802,3 AVENUE,11220,7187459350,Irish,2.37,11220,29784,44348,33765,11220,6471,12166,2691
50044781,TERREMOTO COFFEE,MANHATTAN,328,W 15TH ST,10011,2122434300,CafÃƒÂ©/Coffee/Tea,2.30,10011,17530,39714,18836,10011,2222,3395,598
41571471,LITTLE CAESARS,QUEENS,14605,JAMAICA AVENUE,11435,7182973450,Pizza,4.42,11435,19709,28326,15647,11435,6038,9746,2454
40482596,BROADHURST THEATER,MANHATTAN,NULL,44th Street,10036,2125867610,American,2.94,10036,18034,32494,18650,10036,3549,5802,1176
50000040,D & Y RESTAURANT,BROOKLYN,5616,7TH AVE,11220,7184928808,Chinese,3.15,11220,29784,44348,33765,11220,6471,12166,2691
